acousticness,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,popularity,speechiness,tempo,valence,year,Song,Weeks on Chart,Average Previous Week Position,Week Position
0.674,electric light orchestra,0.6990000000000001,222000,0.573,2.47e-05,0,0.104,-8.515,34,0.0288,111.269,0.78,1973,confusion,8,51.0,115.0
0.153,the manhattans,0.449,258933,0.532,0.0,7,0.149,-12.068,30,0.0446,126.163,0.441,1973,we never danced to a love song,2,7.0,5.0
0.433,jackie moore,0.75,204960,0.506,3.33e-06,1,0.121,-9.97,31,0.0654,128.042,0.857,1973,precious precious,15,52.0,127.0
0.449,earth wind  fire,0.738,300813,0.6659999999999999,0.00615,7,0.063,-10.918,31,0.0418,120.207,0.889,1973,evil,11,34.0,91.0
0.149,the charlie daniels band,0.525,215133,0.695,0.0,0,0.0889,-7.0420000000000025,28,0.0601,134.605,0.913,1973,the devil went down to georgia,18,72.0,176.0
0.523,the hollies,0.586,192600,0.627,2.69e-05,0,0.57,-7.938,28,0.0318,121.234,0.7120000000000001,1973,on a carousel,14,68.0,162.0
0.125,billy joel,0.503,253027,0.693,0.32,2,0.0521,-12.043,32,0.0398,147.252,0.836,1973,travelin prayer,4,18.0,42.0
0.366,electric light orchestra,0.4,187787,0.813,0.0,9,0.227,-8.832,33,0.0871,160.248,0.879,1973,rock n roll is king,13,68.0,147.0
0.555,linda ronstadt,0.373,252080,0.259,0.000724,10,0.117,-11.0,29,0.0345,124.763,0.241,1973,love has no pride,11,32.0,89.0
0.308,ronnie milsap,0.31,163613,0.38,0.000228,0,0.205,-10.414,26,0.0286,170.519,0.371,1974,please dont tell me how the story ends,2,5.0,9.0
0.473,frank sinatra,0.599,169933,0.535,0.0,2,0.0771,-10.853,37,0.0373,144.70600000000005,0.8390000000000001,1974,bad bad leroy brown,7,8.0,31.0
0.715,merle haggard,0.733,163733,0.39,1.02e-05,0,0.394,-11.133,27,0.0422,94.825,0.5479999999999999,1974,if we make it through december,11,40.0,131.0
0.283,paul anka,0.536,202800,0.614,0.0,6,0.336,-8.293,37,0.0331,106.333,0.527,1974,let me get to know you,8,12.0,36.0
0.0304,mott the hoople,0.516,204093,0.8420000000000001,0.0,6,0.0722,-8.062000000000001,25,0.0366,138.245,0.718,1974,the golden age of rock n roll,2,4.0,0.0
0.5529999999999999,albert hammond,0.6920000000000001,203920,0.5529999999999999,0.0,8,0.129,-10.977,46,0.0287,101.256,0.857,1974,im a train,12,45.0,125.0
0.142,the tymes,0.753,168040,0.87,0.0,7,0.101,-10.007,30,0.0528,127.23,0.925,1974,you little trustmaker,13,66.0,160.0
0.565,the rolling stones,0.59,211293,0.743,0.151,4,0.301,-9.768,29,0.0365,128.987,0.926,1974,aint too proud to beg,10,69.0,151.0
0.388,barry manilow,0.32,199627,0.408,0.0,10,0.14,-10.425999999999998,28,0.0278,105.745,0.413,1974,mandy,16,76.0,180.0
0.615,jim stafford,0.743,192867,0.34,0.000126,5,0.189,-14.004,24,0.0373,121.617,0.519,1974,my girl bill,15,66.0,160.0
0.768,david cassidy,0.309,187360,0.415,0.0,2,0.345,-11.441,39,0.0342,170.85,0.238,1974,how can i be sure,9,63.0,136.0
0.612,barry manilow,0.274,231600,0.5529999999999999,0.000171,3,0.182,-9.345,35,0.0505,136.488,0.252,1975,tryin to get the feeling again,15,72.0,164.0
0.352,elton john,0.463,405800,0.443,0.0,1,0.201,-8.174,35,0.0275,129.558,0.178,1975,someone saved my life tonight,13,80.0,175.0
0.7190000000000001,art garfunkel,0.546,215573,0.271,3.27e-06,4,0.108,-16.459,33,0.041,102.524,0.442,1975,break away,11,45.0,111.0
0.443,the main ingredient,0.614,274693,0.8690000000000001,0.0742,5,0.318,-5.092,27,0.0822,122.92,0.623,1975,rolling down a mountainside,3,4.0,15.0
0.425,rod stewart,0.517,236173,0.7170000000000001,7.329999999999999e-05,11,0.1639999999999999,-7.786,39,0.0541,136.731,0.767,1976,tonights the night gonna be alright,23,79.0,180.0
0.0512,brick,0.8029999999999999,341400,0.911,0.736,2,0.0862,-6.045,29,0.036,110.406,0.951,1976,dusic,18,58.0,149.0
0.7829999999999999,the originals,0.247,184040,0.397,0.000595,5,0.253,-13.515999999999998,28,0.0318,171.625,0.489,1976,the bells,14,65.0,160.0
0.149,the ojays,0.6679999999999999,380160,0.774,4.39e-05,5,0.254,-7.001,29,0.0468,128.32,0.77,1976,message in our music,9,41.0,93.0
0.6859999999999999,genesis,0.319,378813,0.196,3.19e-06,5,0.112,-11.466,28,0.0333,130.55700000000002,0.0636,1976,your own special way,5,29.0,69.0
0.108,eddie money,0.608,237600,0.836,9.75e-05,2,0.117,-8.609,28,0.0294,129.626,0.698,1977,two tickets to paradise,14,59.0,142.0
0.00121,meco,0.677,212307,0.915,0.916,0,0.322,-3.859,35,0.0912,124.929,0.545,1977,star wars themecantina band,20,74.0,180.0
0.0138,peter frampton,0.6609999999999999,234093,0.813,0.311,9,0.324,-6.898,30,0.0299,109.872,0.44,1977,signed sealed delivered im yours,16,65.0,149.0
0.0385,odyssey,0.539,259733,0.921,0.000102,1,0.655,-6.662000000000001,34,0.138,109.787,0.69,1977,native new yorker,19,60.0,144.0
0.0132,sylvester,0.773,352107,0.722,0.512,3,0.0562,-13.633,35,0.0343,133.571,0.961,1978,dance disco heat,18,60.0,147.0
0.176,burton cummings,0.596,274599,0.56,0.0,10,0.095,-10.23,40,0.0297,135.355,0.526,1978,break it to them gently,5,13.0,27.0
0.445,santana,0.6990000000000001,285560,0.298,0.00775,2,0.084,-18.447,32,0.0403,115.599,0.715,1978,stormy,10,52.0,124.0
0.555,earth wind  fire,0.534,248267,0.415,0.108,10,0.128,-11.398,31,0.0345,78.333,0.421,1978,cant hide love,9,44.0,111.0
0.135,the alan parsons project,0.6679999999999999,220427,0.223,0.0431,10,0.112,-12.727,38,0.0298,100.508,0.149,1978,what goes up,3,12.0,24.0
0.609,waylon jennings,0.638,198360,0.463,0.00122,7,0.105,-12.734000000000002,28,0.0339,102.476,0.67,1979,luckenbach texas back to the basics of love,16,54.0,136.0
0.314,tim curry,0.8109999999999999,281413,0.701,0.000318,0,0.0745,-10.092,32,0.0335,104.602,0.922,1979,i do the rock,3,5.0,16.0
0.337,bee gees,0.5760000000000001,275373,0.721,0.00739,5,0.226,-6.164,33,0.0379,88.926,0.614,1979,nights on broadway,16,76.0,169.0
0.0629,larsenfeiten band,0.684,252667,0.555,0.00182,0,0.565,-13.502,31,0.0413,83.17200000000003,0.816,1980,wholl be the fool tonight,14,48.0,129.0
0.404,kool  the gang,0.71,256827,0.414,0.0001409999999999,7,0.0405,-15.575,34,0.0461,92.959,0.807,1980,jones vs jones,11,40.0,111.0
0.0569,red rider,0.5660000000000001,308640,0.7509999999999999,1.17e-05,9,0.0779,-10.649,40,0.0587,155.689,0.573,1980,white hot,7,36.0,95.0
0.0872,randy meisner,0.6679999999999999,168733,0.477,9.42e-05,11,0.0961,-13.992,25,0.0298,131.041,0.787,1980,hearts on fire,15,64.0,147.0
0.0329,aerosmith,0.425,279933,0.922,0.019,1,0.0773,-9.41,29,0.0426,122.273,0.7709999999999999,1980,back in the saddle,8,43.0,113.0
0.0311,nazareth,0.615,216253,0.8340000000000001,2.94e-06,7,0.143,-5.726,29,0.0318,131.606,0.688,1980,holiday,3,8.0,24.0
0.271,rod stewart,0.625,303333,0.8440000000000001,0.39,0,0.105,-7.566,34,0.0316,160.719,0.722,1981,young turks,19,77.0,173.0
0.075,saga,0.529,347507,0.491,0.028,0,0.123,-15.282,30,0.0307,130.691,0.609,1981,wind him up,8,27.0,65.0
0.163,cheryl lynn,0.7759999999999999,342440,0.767,0.000452,8,0.159,-8.221,36,0.0487,120.765,0.898,1981,shake it up tonight,7,23.0,55.0
0.303,george benson,0.792,244933,0.509,3.39e-05,10,0.0966,-12.778,38,0.0336,113.825,0.931,1981,never give up on a good thing,9,36.0,87.0
0.097,chilliwack,0.557,239133,0.688,5.89e-05,9,0.0841,-9.98,36,0.0324,91.048,0.7959999999999999,1981,i believe,11,48.0,122.0
0.512,irene cara,0.358,223960,0.542,0.0117,5,0.288,-7.504,40,0.0347,126.865,0.357,1982,anyone can see,18,36.0,105.0
0.0543,chaka demus  pliers,0.867,246213,0.715,0.000231,11,0.356,-9.315,30,0.127,95.099,0.852,1982,murder she wrote,17,29.0,78.0
0.82,john denver,0.261,193013,0.236,0.0,4,0.084,-15.147,32,0.0867,207.246,0.417,1982,shanghai breezes,14,49.0,125.0
0.357,barry manilow,0.277,297787,0.289,1.75e-06,6,0.141,-11.804,35,0.0267,81.949,0.0559,1982,memory,14,41.0,111.0
0.483,rick springfield,0.611,200640,0.453,0.0,2,0.0774,-11.383,28,0.0434,118.921,0.321,1982,what kind of fool am i,12,71.0,144.0
0.782,neil sedaka,0.487,155067,0.55,0.0,1,0.268,-11.649,35,0.0346,159.761,0.8959999999999999,1983,happy birthday sweet sixteen,15,81.0,171.0
0.0265,joan jett  the blackhearts,0.5710000000000001,159987,0.871,0.0,7,0.102,-6.226,30,0.0621,119.852,0.7490000000000001,1983,everyday people,9,47.0,115.0
0.181,a flock of seagulls,0.52,330960,0.605,0.6990000000000001,1,0.0623,-11.013,43,0.0353,120.256,0.77,1983,wishing if i had a photograph of you,14,57.0,135.0
0.0377,neil diamond,0.5579999999999999,182800,0.6970000000000001,0.0,9,0.168,-12.67,30,0.0691,91.587,0.685,1983,thank the lord for the night time,11,68.0,158.0
0.000176,real life,0.574,245467,0.8029999999999999,0.0456,10,0.246,-6.8660000000000005,37,0.052,84.791,0.7709999999999999,1983,catch me im falling,11,45.0,109.0
0.00515,bryan adams,0.561,233270,0.8109999999999999,3.6e-05,4,0.287,-6.157,40,0.0265,126.593,0.635,1984,run to you,19,71.0,171.0
0.498,gloria estefan,0.463,249133,0.469,1.89e-06,5,0.149,-9.651,40,0.0274,164.391,0.433,1984,dont wanna lose you,18,79.0,180.0
0.6809999999999999,jermaine jackson,0.713,288720,0.434,0.0,1,0.106,-9.999,36,0.0275,112.535,0.544,1984,do what you do,20,65.0,158.0
0.15,thompson twins,0.645,286400,0.884,4.32e-06,6,0.199,-10.907,27,0.0411,108.68,0.642,1984,the gap,6,24.0,56.0
0.0118,kool  the gang,0.932,320840,0.509,0.0081,1,0.185,-14.598,33,0.0469,124.586,0.981,1984,emergency,16,62.0,149.0
0.0239,yarbrough  peoples,0.71,449960,0.78,4.79e-05,7,0.418,-8.565,30,0.0511,103.884,0.5589999999999999,1984,dont waste your time,12,36.0,95.0
0.0361,billy squier,0.3720000000000001,288893,0.8590000000000001,0.00298,9,0.062,-5.685,28,0.0765,81.32300000000002,0.401,1984,all night long,3,24.0,45.0
