Song,Performer,Weeks on Chart,Average Previous Week Position,Week Position
wade in the water,herb alpert  the tijuana brass,5,54,61
wade in the water,ramsey lewis,13,51,99
wadsyaname,nelly,6,55,83
wagon wheel,darius rucker,26,35,87
wait,jimmy clanton,3,97,94
wait,maroon 5,24,38,56
wait,white lion,21,40,99
wait a minute,ray j featuring lil kim,17,52,95
wait a minute,the coasters,8,55,82
wait a minute,the pussycat dolls featuring timbaland,16,47,93
wait a minute,tim tam and the turnons,5,82,84
wait for me,daryl hall john oates,19,44,99
wait for me,the playmates,8,54,72
wait for you,bonham,15,71,97
wait for you,elliott yamin,30,30,88
wait on love,michael bolton,6,85,90
wait the whisper song,ying yang twins,22,37,83
wait til my bobby gets home,darlene love,10,49,75
waitin in your welfare line,buck owens,7,73,89
waitin on a woman,brad paisley,20,63,82
waiting at the bus stop,bobby sherman,5,59,68
waiting for a girl like you,foreigner,23,15,92
waiting for a star to fall,boy meets girl,25,31,86
waiting for love,alias,17,44,97
waiting for superman,daughtry,17,83,100
waiting for that day,george michael,10,43,94
waiting for the end,linkin park,23,68,95
waiting for tonight,jennifer lopez,20,24,74
waiting for wednesday,lisa loeb  nine stories,5,87,100
waiting for you,seal,8,94,96
waiting for your love,toto,6,81,94
waiting game,swing out sister,4,91,92
waiting on a friend,the rolling stones,15,29,100
waiting on the world to change,john mayer,40,30,58
waka,6ix9ine featuring a boogie wit da hoodie,3,61,78
waka waka this time for africa,shakira featuring freshlyground,17,63,92
wake me shake me,the coasters,9,66,77
wake me up,avicii,53,21,68
wake me up before you gogo,wham,24,31,98
wake me up when september ends,green day,27,28,94
wake me when its over,andy williams,8,63,96
wake up,fetty wap,13,65,92
wake up,hilary duff,6,52,99
wake up,the chambers brothers,2,92,92
wake up,travis scott,7,78,100
wake up and be somebody,brainstorm,3,88,86
wake up and love me,april,4,96,100
wake up call,maroon 5,22,37,80
wake up everybody part 1,harold melvin and the blue notes,17,33,72
wake up in the sky,gucci mane x bruno mars x kodak black,26,25,51
wake up little susie,simon  garfunkel,11,41,92
wake up my love,george harrison,5,58,100
wake up next to you,graham parker  the shot,12,55,97
wake up susan,the spinners,5,68,77
wake up wake up,the grass roots,5,72,72
waking up alone,paul williams,9,74,86
waking up in vegas,katy perry,23,19,51
walk,foo fighters,13,90,97
walk  dont run,the ventures,18,21,80
walk a little straighter,billy currington,15,78,92
walk a mile in my shoes,joe south and the believers,11,25,45
walk away,donna summer,11,54,97
walk away,kelly clarkson,29,32,78
walk away,matt monro,9,46,62
walk away,the james gang,10,69,87
walk away from love,david ruffin,15,31,72
walk away remember me,paula deanda featuring the dey,22,38,90
walk away renee,four tops,8,31,46
walk away renee,southside johnny  the jukes,5,99,100
walk away renee,the left banke,13,24,58
walk easy my son,jerry butler,2,94,93
walk em down,nle choppa featuring roddy ricch,20,55,70
walk in the night,jr walker  the all stars,12,60,81
walk in the sun,bruce hornsby,9,62,94
walk it out,unk,36,30,80
walk it talk it,migos featuring drake,22,27,69
walk like a man,grand funk,12,45,75
walk like a man,the 4 seasons,13,12,54
walk like a man from a fine mess,mary jane girls,10,59,95
walk like an egyptian,the bangles,23,28,75
walk me home,pnk,20,63,88
walk of life,dire straits,21,29,97
walk on,neil young,7,82,96
walk on by,awb,3,94,93
walk on by,dionne warwick,13,25,61
walk on by,isaac hayes,12,55,94
walk on by,leroy van dyke,17,23,89
walk on by,sybil,6,78,94
walk on the ocean,toad the wet sprocket,20,40,68
walk on the wild side,brook benton,7,60,71
walk on the wild side,lou reed,14,42,84
walk on the wild side part 1,jimmy smith and the big band,13,41,69
walk on water,eddie money,21,33,97
walk on water,eminem featuring beyonce,4,52,93
walk on water,neil diamond,12,33,73
walk on with the duke,the duke of earl,2,93,91
walk right back,the everly brothers,13,24,50
walk right in,dr hook,10,60,97
walk right in,the moments,5,93,98
walk right in,the rooftop singers,13,15,48
walk right now,the jacksons,4,76,89
walk right up to the sun,the delfonics,6,86,83
walk slow,little willie john,8,66,81
walk tall,2 of clubs,3,94,92
walk the dinosaur,was not was,16,34,99
walk this way,aerosmith,17,34,74
walk this way,rundmc,16,28,89
walk through fire,bad company,17,54,99
walk thru,rich homie quan featuring problem,7,85,98
walk with faith in your heart,the bachelors,3,94,93
walkdont run 64,the ventures,11,32,65
walked outta heaven,jagged edge,27,23,65
walkin in the rain,jay  the americans,15,49,80
walkin in the rain with the one i love,love unlimited,14,41,95
walkin in the sunshine,roger miller,7,58,76
walkin my cat named dog,norma tanega,9,43,69
walkin on the moon,thedream featuring kanye west,9,95,100
walkin proud,the pete klint quintet,3,99,99
walkin shoes,tora tora,6,92,95
walkin with my angel,bobby vee,10,74,85
walking,mary mary,5,95,100
walking along,the diamonds,12,50,77
walking away,craig david,20,62,90
walking away,information society,19,39,100
walking down your street,the bangles,16,37,94
walking in la,missing persons,6,78,95
walking in memphis,lonestar,11,72,100
walking in memphis,marc cohn,23,46,99
walking in my shoes,depeche mode,8,77,85
walking in my sleep,roger daltrey,9,72,93
walking in rhythm,the blackbyrds,17,32,77
walking in the rain,the ronettes,11,46,80
walking into sunshine,central line,6,87,99
walking on a dream,empire of the sun,5,79,99
walking on a thin line,huey lewis  the news,15,36,97
walking on broken glass,annie lennox,25,32,71
walking on sunshine,katrina and the waves,21,38,95
walking on the chinese wall,philip bailey,12,68,99
walking on thin ice,yoko ono,10,74,99
walking proud,steve lawrence,9,44,69
walking the dog,rufus thomas,14,31,69
walking the floor over you,pat boone,8,55,84
walking through the country,the grass roots,8,57,77
walking through walls,the escape club,6,87,89
walking to jerusalem,tracy byrd,3,94,99
walking to new orleans,fats domino,14,22,46
walks like a lady,journey,13,51,93
wall to wall,chris brown,9,88,92
walls from shes the one,tom petty and the heartbreakers,4,78,100
waltzing matilda,jimmie rodgers,8,58,73
wang dang doodle,ko ko taylor,8,77,93
wang dang doodle,the pointer sisters,8,77,88
wango tango,ted nugent,4,90,96
wanksta,50 cent,20,33,78
wanna be a baller,lil troy featuring yungsta fat pat lil will hawk big t,12,75,92
wanna be startin somethin,michael jackson,15,20,89
wanna be startin somethin 2008,michael jackson with akon,3,86,99
wanna be that song,brett eldredge,20,68,93
wanna be with you,earth wind  fire,7,65,96
wanna dance,yasmin,4,90,95
wanna get to know you,gunit featuring joe,18,40,100
wanna make love come flick my bic,sun,6,83,100
wannabe,spice girls,23,10,45
wannagirl,jeremy jordan,14,47,81
want ads,the honey cone,16,22,73
want to,sugarland,20,48,86
want to want me,jason derulo,35,21,50
want u back,cher lloyd,20,32,73
want you back in my life again,carpenters,8,78,93
want you for my girlfriend,4 by four,6,85,92
want you to know,rotary connection,2,96,96
wanted,hunter hayes,46,42,88
wanted,jessie james,12,72,76
wanted dead or alive,bon jovi,17,28,100
wanted dead or alive,chris daughtry,3,48,93
wanted lover no experience necessary,laura lee,2,84,84
wanted man,ratt,3,90,89
wanted you,nav featuring lil uzi vert,5,69,84
wanted you more,lady antebellum,5,95,98
wants and needs,drake featuring lil baby,11,30,49
wap,cardi b featuring megan thee stallion,24,17,55
war,bruce springsteen,12,23,71
war,edwin starr,15,14,44
war games,crosby stills  nash,9,55,99
war song,neil young  graham nash,6,68,72
warm and tender love,percy sledge,9,33,48
warm it up,kris kross,20,37,92
warm ride,rare earth,11,57,94
warm summer daze,vybe,5,85,99
warmed over kisses left over love,brian hyland,8,48,76
warning,morgan wallen,5,67,93
warriors drum,king just,5,97,100
was dog a doughnut,cat stevens,9,80,88
was it good to you,the isley brothers,5,90,92
was it nothing at all,michael damian,21,49,87
wash us in the blood,kanye west featuring travis scott,2,49,75
washed ashore on a lonely island in the sea,the platters,8,74,97
washed away,tom cochrane,4,91,99
washington square,the village stompers,14,23,69
wasnt it good,cher,7,65,94
wasnt that a party,the rovers,17,56,99
wasted,carrie underwood,20,56,82
wasted,gucci mane featuring plies or oj da juiceman,19,56,97
wasted,juice wrld featuring lil uzi vert,5,77,100
wasted,tiesto featuring matthew koma,12,65,94
wasted days and wasted nights,freddy fender,19,30,69
wasted on the way,crosby stills  nash,15,21,92
wasted on you,morgan wallen,16,57,98
wasted time,keith urban,17,69,99
wasted time,skid row,3,92,100
wasted times,the weeknd,3,45,76
wasteland,10 years,2,94,95
wasting all these tears,cassadee pope,20,62,87
wasting my time,default,35,39,77
wat da hook gon be,murphy lee featuring jermaine dupri,20,33,67
wat u mean aye aye aye,dae dae,17,79,99
watch,travis scott featuring lil uzi vert  kanye west,5,50,87
watch closely now,kris kristofferson,6,65,72
watch for the hook,cool breeze featuring outkast goodie mob  witchdoctor,10,84,99
watch her ride,jefferson airplane,4,66,70
watch me,bella thorne  zendaya,3,86,94
watch me,silento,51,24,86
watch me do my thing from all that,immature featuring smooth and ed from good burger,14,59,100
watch out,2 chainz,11,84,98
watch out for lucy,eric clapton and his band,7,52,98
watch out now,the beatnuts featuring yellaklaw,12,91,99
watch the flowers grow,the 4 seasons featuring the sound of frankie valli,7,48,61
watch the wind blow by,tim mcgraw,20,49,73
watch your step,bobby parker,6,68,77
watch your step,brooks odell,9,68,81
watching airplanes,gary allan,20,66,87
watching over you,glenn medeiros,8,85,100
watching scotty grow,bobby goldsboro,13,30,58
watching the river flow,bob dylan,8,52,60
watching the river run,loggins  messina,6,78,81
watching the wheels,john lennon,17,37,98
watching you,rodney atkins,20,51,75
watching you,slave,6,81,98
water,brad paisley,19,64,93
water,ugly god,4,89,99
water boy,don shirley trio,14,62,80
water runs dry,boyz ii men,28,16,50
water under the bridge,adele,22,47,80
waterfall,carly simon,3,82,80
waterfall,wendy and lisa,10,67,99
waterfalls,tlc,34,17,49
watergrate,dickie goodman,7,68,90
waterloo,abba,17,29,66
waterloo,stonewall jackson,16,26,70
watermelon crawl,tracy byrd,5,85,100
watermelon man,gloria lynne,5,69,82
watermelon man,mongo santamaria band,11,37,75
watermelon sugar,harry styles,39,27,94
wave on wave,pat green,20,61,88
wavelength,van morrison,11,57,100
waves,kanye west,2,71,86
waves,mr probz,25,34,80
wavin flag,knaan,7,86,97
way back home,jr walker  the all stars,9,69,79
way back home,the jazz crusaders,2,99,90
way cool jr,ratt,7,84,94
way down,elvis presley,21,38,96
way down we go,kaleo,8,78,91
way down yonder in new orleans,freddie cannon,15,21,78
way less sad,ajr,4,94,99
way of life,lil wayne,12,83,97
way out,jack harlow featuring big sean,4,87,98
way out,jj fad,9,75,99
way out here,josh thompson,9,92,98
way over there,the miracles,3,94,94
ways to be wicked,lone justice,6,80,96
we,shawn phillips,3,94,92
we aint goin out like that,cypress hill,7,80,98
we aint got nothin yet,blues magoos,14,29,74
we all sleep alone,cher,15,38,100
we are family,sister sledge,19,34,95
we are neighbors,the chilites,5,81,81
we are never ever getting back together,taylor swift,24,14,46
we are one ole ola the 2014 fifa world cup official song,pitbull featuring jennifer lopez  claudia leitte,6,78,98
we are the world,usa for africa,18,28,100
we are the world 25 for haiti,artists for haiti,5,28,96
we are the young,dan hartman,17,46,100
we are tonight,billy currington,19,74,92
we are what we are,the other ones,9,66,85
we are young,fun featuring janelle monae,42,20,89
we are young,glee cast,3,36,100
we back,jason aldean,16,77,95
we be burnin,sean paul,28,28,76
we been singin songs,baron stewart,6,95,96
we belong,pat benatar,20,28,97
we belong together,gavin degraw,3,32,75
we belong together,jimmy velvet,7,81,85
we belong together,mariah carey,43,18,61
we built this city,starship,24,30,100
we can fly,the cowsills,9,38,54
we can get down,myron,8,83,96
we can get together,icehouse,7,73,95
we can last forever,chicago,12,66,87
we can make it baby,the originals,6,86,95
we can make it together,steve  eydie featuring the osmonds,10,77,89
we can make music,tommy roe,6,59,66
we can work it out,stevie wonder,11,30,52
we can work it out,the beatles,12,9,48
we cant be friends,deborah cox with rl,20,42,97
we cant go wrong,the cover girls,19,36,93
we cant hide it anymore,larry santos,10,57,81
we cant stop,miley cyrus,26,14,49
we close our eyes,go west,15,58,96
we connect,stacey q,19,59,92
we could,al martino,6,55,59
we could be together,debbie gibson,6,76,93
we danced,brad paisley,20,53,86
we danced anyway,deana carter,9,81,98
we dem boyz,wiz khalifa,20,66,95
we did it,syl johnson,3,100,100
we didnt start the fire,billy joel,19,22,94
we dont have to take our clothes off,jermaine stewart,22,38,98
we dont need another hero thunderdome,tina turner,18,26,99
we dont talk anymore,charlie puth featuring selena gomez,24,30,61
we dont talk anymore,cliff richard,20,30,94
we fell in love while dancing,bill brandon,7,87,91
we fly high,jim jones,27,23,63
we found love,rihanna featuring calvin harris,41,13,48
we getz busy,illegal,2,95,99
we go together,jan  dean,7,70,92
we got a dream,ocean,5,88,92
we got a love thang,cece peniston,20,42,79
we got a thing thats in the groove,the capitols,6,71,77
we got it,immature featuring smooth,20,59,82
we got love,bobby rydell,17,22,68
we got more soul,dyke and the blazers,10,58,73
we got the beat,gogos,19,20,96
we got to live together  part i,buddy miles,6,90,91
we gotta all get together,paul revere  the raiders featuring mark lindsay,7,58,66
we gotta get out of this place,the animals,11,33,68
we gotta get you a woman,runt,17,42,88
we had a good thing goin,the cyrkle,5,82,85
we have love,dinah washington,3,86,85
we have love,jackie wilson,2,96,93
we just disagree,dave mason,19,40,96
we know were in love,lesley gore,3,82,76
we like to party,vengaboys,20,48,90
we live for love,pat benatar,14,49,91
we love you,the rolling stones,6,61,64
we love you beatles,the carefrees,5,53,57
we love you call collect,art linkletter,6,56,55
we made you,eminem,10,31,85
we may never love like this again,maureen mcgovern,4,90,92
we may never pass this way again,seals  crofts,12,37,66
we must be in love,five stairsteps  cubie,3,88,88
we must be in love,pure soul,11,76,96
we need a resolution,aaliyah featuring timbaland,16,70,100
we need order,the chilites,6,67,71
we never danced to a love song,the manhattans,2,93,97
we no speak americano,yolanda be cool  dcup,20,53,88
we own it fast  furious,2 chainz  wiz khalifa,7,51,86
we owned the night,lady antebellum,20,54,96
we paid,lil baby  42 dugg,22,39,70
we r who we r,keha,20,11,43
we really shouldnt be doing this,george strait,5,52,89
we rock,cast of camp rock,3,48,93
we run the night,havana brown featuring pitbull,22,55,94
we run this,missy elliott,5,64,89
we should be sleeping,eddie money,3,93,95
we still in this b,bob featuring ti  juicy j,20,73,82
we takin over,dj khaled featuring ti akon rick ross fat joe lil wayne  baby,17,46,81
we thuggin,fat joe featuring r kelly,20,35,66
we told you not to marry,titus turner,6,89,96
we trying to stay alive,wyclef jean featuring refugee allstars,12,59,96
we two,little river band,12,40,91
we want the funk,gerardo,11,39,94
we went,randy houser,13,78,93
we were,keith urban,15,78,96
we were always sweethearts,boz scaggs,6,73,82
we were meant to be lovers,photoglo,14,53,91
we were us,keith urban and miranda lambert,20,59,94
we werent born to follow,bon jovi,4,78,97
we werent crazy,josh gracin,10,90,99
we will rock you,warrant,5,90,96
we will rock youwe are the champions,queen,41,47,99
weak,ajr,11,84,95
weak,swv,26,14,46
weak and powerless,a perfect circle,18,75,96
weapons of love,the truth,9,76,90
wear it on our face,the dells,8,60,70
wear this ring with love,detroit emeralds,4,95,95
wear your love like heaven,donovan,7,40,46
weatherman,nick jameson,2,95,95
weatherman says,jack wagner,6,76,87
wedding bell blues,the 5th dimension,15,16,35
wedding song there is love,paul stookey,14,43,72
wedding song there is love,petula clark,10,75,87
wednesday,the royal guardsmen,2,98,97
week end,the kingsmen,3,90,86
weekend,wet willie,12,49,97
weekend in new england,barry manilow,19,32,94
weekend love,queen latifah,13,81,95
weekend lover,odyssey,7,69,99
weekend thang,alfonzo hunter,5,91,99
weird science,oingo boingo,12,68,98
welcome back,john sebastian,14,19,59
welcome back,mase,12,51,91
welcome home,sammy kaye and his orchestra,3,70,92
welcome home,walter jackson,2,99,95
welcome home baby,the shirelles,8,41,50
welcome me love,the brooklyn bridge featuring johnny maestro,9,60,85
welcome new lovers,pat boone,12,35,53
welcome to atlanta,jermaine dupri  ludacris,20,51,58
welcome to heartlight,kenny loggins,14,45,100
welcome to jamrock,damian jr gong marley,12,70,93
welcome to my hood,dj khaled featuring rick ross plies lil wayne  tpain,7,86,99
welcome to my life,simple plan,18,61,98
welcome to my nightmare,alice cooper,6,68,80
welcome to new york,taylor swift,2,48,69
welcome to our world of merry music,mass production,4,78,77
welcome to paradise,john waite,4,87,88
welcome to the black parade,my chemical romance,26,34,92
welcome to the boomtown,david  david,16,61,100
welcome to the future,brad paisley,16,65,92
welcome to the jungle,guns n roses,17,29,97
welcome to the party,diplo french montana  lil pump featuring zhavia ward,4,89,100
welcome to the pleasure dome,frankie goes to hollywood,8,59,93
welcome to the real world,jane child,9,64,100
welcome to the world,kevin rudolf featuring rick ross,9,63,72
welfare cadilac,guy drake,14,78,90
well all right,santana,8,75,81
well be a dream,we the kings featuring demi lovato,6,82,93
well be together,sting,18,32,96
well be united,the intruders,6,91,96
well cry together,maxine brown,8,87,95
well have it made,the spinners,3,97,96
well i told you,the chantels,10,48,74
well im your man,johnny tillotson,3,93,100
well never have to say goodbye again,england dan  john ford coley,14,36,96
well sing in the sunshine,gale garnett,17,27,80
wella wella,shirley  lee,6,86,93
wendy,the beach boys,6,56,62
wendy wendy,the four coins,3,80,75
were a winner,the impressions,13,42,84
were all alone,frankie valli,3,85,80
were all alone,rita coolidge,20,30,99
were all goin home,bobby bloom,4,94,99
were all in the same gang,the west coast rap allstars,16,54,100
were all in this together,high school musical cast,4,63,97
were all playing in the same band,bert sommer,8,62,77
were almost there,michael jackson,8,66,78
were an american band,grand funk,17,24,69
were free,beverly bremers,15,64,96
were getting careless with our love,johnnie taylor,10,59,82
were going all the way,jeffrey osborne,12,63,92
were gonna have a good time,rare earth,3,99,99
were gonna make it,little milton,11,45,73
were good,dua lipa,14,46,56
were in this love together,al jarreau,24,44,95
were not gonna take it,twisted sister,15,44,99
were not making love no more,dru hill,20,38,93
were on our way,chris hodge,8,58,69
were on the right track,south shore commission,4,95,97
were ready,boston,15,31,93
were rolling on part i,the impressions,7,66,77
werewolf,five man electrical band,8,76,89
werewolf,the frantics,2,83,92
werewolves of london,warren zevon,12,39,95
west coast summer nights,tony carey,9,76,94
west coast woman,painter,5,87,89
west end girls,pet shop boys,20,26,97
west of the wall,toni fisher,11,58,87
west side story,lfo,4,89,96
west up,wc  the maad circle,10,93,100
westbound 9,the flaming ember,14,44,86
western movies,the olympics,12,20,89
western union,the five americans,12,26,58
westside,tq,16,31,93
westside story,the game featuring 50 cent,4,98,99
wet dreamz,j cole,20,74,98
wet my whistle,midnight star,11,69,91
wet the bed,chris brown featuring ludacris,10,83,90
wetter calling you daddy,twista featuring erika shevon,16,59,98
weve come too far to end it now,smokey robinson  the miracles,10,57,71
weve got honey love,martha reeves  the vandellas,6,71,78
weve got it goin on,backstreet boys,20,84,95
weve got love,peaches  herb,8,60,97
weve got to get it on again,addrisi brothers,12,41,62
weve got tonight,bob seger  the silver bullet band,17,38,96
weve got tonight,kenny rogers and sheena easton,18,22,92
weve only just begun,carpenters,17,18,65
weve only just begun the romance is not over,glenn jones,14,79,98
weve saved the best for last,kenny g,9,62,88
wham,lonnie mack,9,50,84
wham bam shangalang,silver,21,43,86
what a beautiful day,chris cagle,20,66,97
what a bummer,the jaggerz,2,88,88
what a difference youve made in my life,ronnie milsap,5,85,94
what a diffrence a day makes,dinah washington,20,29,79
what a diffrence a day makes,esther phillips,16,41,73
what a fool believes,the doobie brothers,20,25,92
what a fool ive been,carla thomas,2,100,93
what a girl wants,christina aguilera,24,18,51
what a guy,the raindrops,8,58,78
what a man gotta do,jonas brothers,12,46,98
what a man my man is,lynn anderson,3,94,95
what a party,fats domino,8,40,49
what a price,fats domino,9,38,52
what a price to pay,michael damian,8,71,87
what a sad way to love someone,ral donner,7,86,92
what a shame,foghat,6,89,93
what a surprise,johnny maestro the voice of the crests,9,49,69
what a sweet thing that was,the shirelles,6,65,77
what a walk,bobby lewis,3,88,81
what a woman in love wont do,sandy posey,7,49,65
what a wonderful thing we have,the fabulous rhinestones,4,82,83
what a wonderful world,art garfunkel with james taylor  paul simon,14,44,99
what a wonderful world,louis armstrong,11,50,87
what about love,austin mahone,9,74,92
what about love,heart,21,38,97
what about love,til tuesday,14,50,93
what about me,anne murray,8,71,74
what about me,kenny rogers with kim carnes  james ingram,19,47,99
what about me,moving pictures,43,52,95
what about me,quicksilver messenger service,2,100,100
what about now,daughtry,20,66,86
what about now,lonestar,20,49,72
what about us,brandy,18,32,94
what about us,pnk,21,33,57
what about us,the coasters,10,58,93
what about us,total,24,26,50
what about your friends,tlc,27,25,74
what am i crying for,dennis yost and the classics iv,13,59,84
what am i going to do without your love,martha  the vandellas,5,76,85
what am i gonna do,jimmy clanton,6,66,88
what am i gonna do,smith,4,75,76
what am i gonna do,tyrese,18,84,100
what am i gonna do im so in love with you,rod stewart,12,52,96
what am i gonna do with you,barry white,11,29,74
what am i living for,chuck willis,7,45,94
what am i living for,conway twitty,11,50,86
what am i living for,percy sledge,2,94,91
what am i living for,ray charles,7,70,80
what am i supposed to do,annmargret,5,85,85
what are boys made of,the percells,6,67,77
what are we doin in love,dottie west with kenny rogers,20,35,99
what are we going to do,david jones,3,96,93
what are you doing sunday,dawn featuring tony orlando,9,50,54
what becomes of the brokenhearted,jimmy ruffin,17,27,69
what becomes of the brokenhearted,paul young,14,43,88
what can i do for you,labelle,6,57,63
what can i do with this broken heart,england dan  john ford coley,6,61,67
what can i say,boz scaggs,14,53,98
what can you get a wookiee for christmas when he already owns a comb,the star wars intergalactic droid choir  chorale,6,76,91
what cha gonna do for me,chaka khan,9,68,91
what cha gonna do with my lovin,stephanie mills,14,50,98
what color is a man,bobby vinton,7,56,71
what comes naturally,sheena easton,15,40,83
what did daddy do,shep and the limelites,2,94,96
what do all the people know,the monroes,8,68,74
what do i care,johnny cash,8,68,83
what do ya think about that,montgomery gentry,20,73,100
what do you mean,justin bieber,31,11,41
what do you say,reba,20,55,76
what do you say to that,george strait,16,59,95
what do you want,bobby vee,2,96,93
what do you want,jerrod niemann,20,64,80
what do you want with me,chad  jeremy,8,69,89
what does a girl do,marcie blane,3,91,87
what does a girl do,the shirelles,6,66,76
what does it take,honeymoon suite,16,67,91
what does it take to win your love,jr walker  the all stars,16,29,78
what goes around comes around,giggles,20,64,96
what goes aroundcomes around,justin timberlake,25,20,50
what goes on,the beatles,2,89,81
what goes up,the alan parsons project,3,88,100
what goes up must come down,tyrone davis,2,89,89
what good am i without you,marvin gaye  kim weston,6,75,81
what happened to that boy,baby featuring clipse,11,59,93
what happens in a small town,brantley gilbert  lindsay ell,14,78,94
what have i done to deserve this,pet shop boys  dusty springfield,18,26,75
what have i got of my own,trini lopez,13,64,91
what have they done to the rain,the searchers,7,46,57
what have you done for me lately,janet jackson,21,32,99
what hurts the most,cascada,14,66,99
what hurts the most,rascal flatts,51,41,83
what i am,edie brickell  new bohemians,19,37,87
what i didnt know,athenaeum,14,80,99
what i like about you,michael morales,13,47,100
what i like about you,the romantics,8,62,99
what i need,crystal waters,4,85,95
what i need to do,kenny chesney,17,67,95
what i really meant to say,cyndi thomson,20,57,96
what if,babyface,15,90,98
what if,jason derulo,2,76,96
what if,reba mcentire,15,70,100
what if a woman,joe,16,80,95
what if i never get over you,lady antebellum,21,73,99
what if i said,anita cochran duet with steve wariner,15,72,97
what if i said i love you,unipop,8,79,90
what if shes an angel,tommy shane steiner,20,57,77
what ifs,kane brown featuring lauren alaina,23,50,90
what in the name of love,naked eyes,12,54,97
what in the worlds come over you,jack scott,16,20,76
what is a man,four tops,7,65,74
what is hip,tower of power,2,98,91
what is it,baby bash featuring sean kingston,12,74,92
what is life,george harrison,9,23,33
what is love,haddaway,26,30,69
what is love,howard jones,13,52,93
what is love,the playmates,13,36,67
what is truth,johnny cash,8,33,46
what it comes down to,the isley brothers,11,74,96
what it feels like for a girl,madonna,10,46,97
what it is,the undisputed truth,5,78,82
what it is,violator featuring busta rhymes,14,73,100
what it takes,aerosmith,17,32,98
what its like,everlast,33,39,80
what ive been looking for,lucas grabeel  ashley tisdale,3,44,94
what ive done,linkin park,23,24,49
what kind of fool,barbra streisand  barry gibb,16,33,93
what kind of fool am i,anthony newley,3,98,97
what kind of fool am i,rick springfield,12,30,92
what kind of fool am i,sammy davis jr,15,44,97
what kind of fool do you think i am,bill deal  the rhondels,9,45,65
what kind of fool do you think i am,the tams,14,40,83
what kind of love is this,joey dee  the starliters,10,36,57
what kind of man,florence  the machine,2,100,88
what kind of man would i be,chicago,18,33,85
what kind of man would i be,mint condition,24,35,71
what kinda gone,chris cagle,20,70,98
what little girl,frankie avalon,2,82,79
what love is,marty balin,6,72,99
what lovers do,maroon 5 featuring sza,21,21,41
what makes you beautiful,one direction,34,18,50
what makes you country,luke bryan,11,67,90
what mattered most,ty herndon,3,94,98
what means the world to you,camron,10,90,96
what might have been,little texas,20,84,100
what my baby needs now is a little more lovin,james brownlyn collins,7,72,78
what now,gene chandler,8,52,59
what now,rihanna,8,69,93
what now my love,groove holmes,3,98,98
what now my love,herb alpert  the tijuana brass,8,40,53
what now my love,mitch ryder,7,50,67
what now my love,sonny  cher,8,30,47
what she does to me the diana song,the producers,6,70,96
what she wants tonight,luke bryan,17,67,90
what the big girls do,van stephenson,9,58,72
what the hell,avril lavigne,20,28,75
what the world needs,wynonna,8,76,87
what the world needs now is love,dionne warwick and the hiphop nation united,2,87,99
what the world needs now is love,jackie deshannon,13,28,70
what the world needs now is loveabraham martin and john,tom clay,9,28,49
what them girls like,ludacris costarring chris brown  sean garrett,14,52,99
what they do,the roots,15,59,100
what they want,russ,7,90,99
what time is it,high school musical 2 cast,8,38,91
what time is it,the jive five with eugene pitts,5,78,77
what time is love,the klf,12,83,100
what time of day,billy thunderkloud  the chieftones,3,98,96
what to do,jackboys featuring don toliver,2,56,100
what to do with laurie,mike clifford,7,77,85
what u gon do,lil jon  the east side boyz featuring lil scrappy,19,45,94
what u see is what u get,xzibit,14,63,100
what was i thinkin,dierks bentley,20,45,89
what we aint got,jake owen,11,92,94
what will i do,timmy t,4,97,96
what will i tell my heart,the harptones,2,98,96
what will my mary say,johnny mathis,12,26,66
what would happen,meredith brooks,10,65,96
what would i do,mickey  sylvia,9,64,76
what would the children think,rick springfield,4,79,77
what would you do,city high,28,23,84
what would you do,jim reeves,5,87,89
what would you do,the isley brothers featuring ronald isley,20,65,100
what ya want,eve  nokio,20,50,99
what you do to me,carl wilson,6,79,99
what you dont know,expose,15,27,88
what you gave me,marvin gaye  tammi terrell,8,59,73
what you get is what you see,tina turner,14,37,83
what you give,tesla,6,90,95
what you got,colby odonis featuring akon,25,32,69
what you got,duke  the drivers,4,98,100
what you know,ti,20,26,65
what you know bout love,pop smoke,37,27,56
what you need,inxs,20,31,86
what you see is what you get,brenda k starr,13,42,72
what you see is what you get,stoney  meatloaf,6,79,79
what you waiting for,gwen stefani,20,78,99
what you want,dmx featuring sisqo,20,73,100
what you want,mase featuring total,24,23,50
what you wont do for love,bobby caldwell,20,39,93
what you wont do for love,go west,11,70,99
what youre missing,chicago,5,86,97
whataya want from me,adam lambert,30,35,70
whatcha gone do,link,19,46,97
whatcha gonna do,chilliwack,13,54,92
whatcha gonna do,nat king cole,2,94,92
whatcha gonna do,pablo cruise,26,41,91
whatcha gonna do with my lovin,inner city,6,81,84
whatcha say,jason derulo,32,16,49
whatcha see is whatcha get,the dramatics,15,32,76
whatcha wanna do,mia x featuring charlie wilson,7,56,98
whatchu like,da brat featuring tyrese,20,47,68
whatchulookinat,whitney houston,3,96,96
whatd i say,elvis presley with the jubilee four and carole lombard quartet,6,29,35
whatd i say,jerry lee lewis and his pumping piano,8,51,79
whatd i say,rare earth,5,73,81
whatd i say part 1,bobby darin,8,41,53
whatd i say part i  ii,ray charles and his orchestra,15,26,77
whatd you come here for,trina  tamara,12,70,92
whateva man,redman,15,64,99
whatever,en vogue,15,54,100
whatever,ideal featuring lil mo,18,64,92
whatever gets you thru the night,john lennon with the plastic ono nuclear band,15,27,79
